"SK_CLUBE","COD_CLUBE","NOME","ESCUDO","CIDADE","ESTADO","SIGLA_ESTADO","REGIAO","DATA_INICIO","DATA_FIM","VERSAO",
-1,-1,"SEM INFORMAÇÃO",(BLOB),"XXXXXXX","XXXXXXX","XX","XXXXXXX",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
0,0,"SCD2",(BLOB),"XXXXXXX","XXXXXXX","XX","XXXXXXX",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
1,1,"AMÉRICA-MG",(BLOB),"BELO HORIZONTE","MINAS GERAIS","MG","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
2,2,"AMÉRICA-RN",(BLOB),"NATAL","RIO GRANDE DO NORTE","RN","NORDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
3,3,"ATHLETICO-PR",(BLOB),"CURITIBA","PARANÁ","PR","SUL",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
4,4,"ATLÉTICO-GO",(BLOB),"GOIÂNIA","GOIÁS","GO","CENTRO-OESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
5,5,"ATLÉTICO-MG",(BLOB),"BELO HORIZONTE","MINAS GERAIS","MG","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
6,6,"AVAÍ",(BLOB),"FLORIANÓPOLIS","SANTA CATARINA","SC","SUL",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
7,7,"BAHIA",(BLOB),"SALVADOR","BAHIA","BA","NORDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
8,8,"BARUERI",(BLOB),"BARUERI","SÃO PAULO","SP","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
9,9,"BOTAFOGO-RJ",(BLOB),"RIO DE JANEIRO","RIO DE JANEIRO","RJ","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
10,10,"BRAGANTINO",(BLOB),"BRAGANÇA PAULISTA","SÃO PAULO","SP","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
11,11,"BRASILIENSE",(BLOB),"TAGUATINGA","DISTRITO FEDERAL","DF","CENTRO-OESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
12,12,"CSA",(BLOB),"MACEIÓ","ALAGOAS","AL","NORDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
13,13,"CEARÁ",(BLOB),"FORTALEZA","CEARÁ","CE","NORDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
14,14,"CHAPECOENSE",(BLOB),"CHAPECÓ","SANTA CATARINA","SC","SUL",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
15,15,"CORINTHIANS",(BLOB),"SÃO PAULO","SÃO PAULO","SP","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
16,16,"CORITIBA",(BLOB),"CURITIBA","PARANÁ","PR","SUL",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
17,17,"CRICIÚMA",(BLOB),"CRICIÚMA","SANTA CATARINA","SC","SUL",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
18,18,"CRUZEIRO",(BLOB),"BELO HORIZONTE","MINAS GERAIS","MG","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
19,19,"CUIABÁ",(BLOB),"CUIABÁ","MATO GROSSO","MT","CENTRO-OESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
20,20,"FIGUEIRENSE",(BLOB),"FLORIANÓPOLIS","SANTA CATARINA","SC","SUL",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
21,21,"FLAMENGO",(BLOB),"RIO DE JANEIRO","RIO DE JANEIRO","RJ","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
22,22,"FLUMINENSE",(BLOB),"RIO DE JANEIRO","RIO DE JANEIRO","RJ","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
23,23,"FORTALEZA",(BLOB),"FORTALEZA","CEARÁ","CE","NORDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
24,24,"GOIÁS",(BLOB),"GOIÂNIA","GOIÁS","GO","CENTRO-OESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
25,25,"GRÊMIO",(BLOB),"PORTO ALEGRE","RIO GRANDE DO SUL","RS","SUL",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
26,26,"GRÊMIO PRUDENTE",(BLOB),"PRESIDENTE PRUDENTE","SÃO PAULO","SP","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
27,27,"GUARANI",(BLOB),"CAMPINAS","SÃO PAULO","SP","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
28,28,"INTERNACIONAL",(BLOB),"PORTO ALEGRE","RIO GRANDE DO SUL","RS","SUL",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
29,29,"IPATINGA",(BLOB),"IPATINGA","MINAS GERAIS","MG","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
30,30,"JOINVILLE",(BLOB),"JOINVILLE","SANTA CATARINA","SC","SUL",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
31,31,"JUVENTUDE",(BLOB),"CAXIAS DO SUL","RIO GRANDE DO SUL","RS","SUL",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
32,32,"NÁUTICO",(BLOB),"RECIFE","PERNAMBUCO","PE","NORDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
33,33,"PALMEIRAS",(BLOB),"SÃO PAULO","SÃO PAULO","SP","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
34,34,"PARANÁ",(BLOB),"CURITIBA","PARANÁ","PR","SUL",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
35,35,"PAYSANDU",(BLOB),"BELÉM","PARÁ","PA","NORTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
36,36,"PONTE PRETA",(BLOB),"CAMPINAS","SÃO PAULO","SP","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
37,37,"PORTUGUESA",(BLOB),"SÃO PAULO","SÃO PAULO","SP","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
38,38,"SANTA CRUZ",(BLOB),"RECIFE","PERNAMBUCO","PE","NORDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
39,39,"SANTO ANDRÉ",(BLOB),"SANTO ANDRÉ","SÃO PAULO","SP","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
40,40,"SANTOS",(BLOB),"SANTOS","SÃO PAULO","SP","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
41,41,"SÃO CAETANO",(BLOB),"SÃO CAETANO DO SUL","SÃO PAULO","SP","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
42,42,"SÃO PAULO",(BLOB),"SÃO PAULO","SÃO PAULO","SP","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
43,43,"SPORT",(BLOB),"RECIFE","PERNAMBUCO","PE","NORDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
44,44,"VASCO",(BLOB),"RIO DE JANEIRO","RIO DE JANEIRO","RJ","SUDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
45,45,"VITÓRIA",(BLOB),"SALVADOR","BAHIA","BA","NORDESTE",1900-01-01 00:00:00,2199-12-31 23:59:59,1,
